,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.000000,0.725265,0.625593,0.745273,0.719205,0.728144,0.801308,0.744243,0.515168,0.607368,0.666956,0.617064,0.475724,0.453598,0.583544,0.640801,0.603434,0.598143,0.552925,0.778009,0.691012,0.725588,0.730950,0.622880,0.683711,0.635375,0.730984,0.633559,0.486840,0.691078,0.649025,0.717377,0.498585,0.560960,0.740581,0.755158,0.664912,0.636789,0.710581,0.719315
1,0.725265,1.000000,0.529098,0.679436,0.767230,0.260305,0.804159,0.691727,0.220098,0.594485,0.596705,0.363851,0.125215,0.116352,0.378985,0.760581,0.251806,0.172242,0.156035,0.534746,0.536959,0.652740,0.483709,0.306520,0.492514,0.580361,0.613132,0.586975,0.602428,0.701881,0.685784,0.557095,0.775492,0.116969,0.597079,0.578181,0.624275,0.525802,0.503147,0.585777
2,0.625593,0.529098,1.000000,0.691813,0.609403,0.619010,0.757818,0.859621,0.696495,0.589737,0.669436,0.736382,0.655335,0.597506,0.639228,0.516634,0.709767,0.634292,0.647621,0.673412,0.604329,0.656678,0.674756,0.628084,0.665444,0.695857,0.715364,0.710015,0.442503,0.512509,0.551444,0.652439,0.398236,0.587718,0.572310,0.593281,0.582719,0.624071,0.579833,0.564097
3,0.745273,0.679436,0.691813,1.000000,0.761885,0.484582,0.728229,0.799449,0.594398,0.808743,0.778423,0.621647,0.427616,0.418063,0.739402,0.786859,0.472665,0.371154,0.436204,0.739476,0.806939,0.747621,0.619586,0.484188,0.780431,0.803362,0.817738,0.783529,0.524234,0.841087,0.794843,0.809485,0.707951,0.470665,0.700621,0.740692,0.723070,0.759214,0.706137,0.722690
4,0.719205,0.767230,0.609403,0.761885,1.000000,0.458845,0.720578,0.718304,0.343547,0.609093,0.666553,0.507798,0.259572,0.229640,0.497896,0.768244,0.428248,0.293350,0.292589,0.605684,0.644334,0.772279,0.587097,0.417231,0.541300,0.645782,0.685018,0.688672,0.623332,0.700135,0.721665,0.669667,0.739146,0.343525,0.633730,0.640667,0.649263,0.643983,0.675271,0.674441
5,0.728144,0.260305,0.619010,0.484582,0.458845,1.000000,0.652092,0.597225,0.644902,0.323267,0.535626,0.700518,0.787381,0.745708,0.559790,0.285227,0.827591,0.861072,0.841878,0.705130,0.467504,0.587036,0.777129,0.834491,0.626379,0.415071,0.494509,0.460514,0.285862,0.398795,0.288351,0.567803,0.015723,0.808411,0.667210,0.643010,0.541666,0.559648,0.677613,0.653337
6,0.801308,0.804159,0.757818,0.728229,0.720578,0.652092,1.000000,0.829066,0.510489,0.579570,0.705105,0.648376,0.538267,0.503288,0.563170,0.682300,0.638822,0.578009,0.579577,0.731290,0.604565,0.753457,0.751726,0.664620,0.694530,0.616438,0.654205,0.651984,0.571238,0.693637,0.607515,0.674967,0.528335,0.478606,0.744740,0.727708,0.726574,0.674285,0.674331,0.750560
7,0.744243,0.691727,0.859621,0.799449,0.718304,0.597225,0.829066,1.000000,0.589087,0.658510,0.690627,0.671853,0.521866,0.518784,0.681023,0.672261,0.576650,0.528406,0.541063,0.725888,0.683729,0.711961,0.700390,0.616508,0.672235,0.728448,0.772844,0.709521,0.487292,0.684535,0.704731,0.782958,0.557889,0.506287,0.665338,0.677850,0.658022,0.697244,0.657574,0.696084
8,0.515168,0.220098,0.696495,0.594398,0.343547,0.644902,0.510489,0.589087,1.000000,0.708817,0.742057,0.800778,0.813946,0.876353,0.845539,0.493686,0.677320,0.657095,0.738695,0.695285,0.644262,0.512618,0.588374,0.671722,0.788495,0.730078,0.700232,0.665373,0.325969,0.552609,0.529579,0.714653,0.218392,0.790603,0.603863,0.637620,0.561535,0.656551,0.666483,0.600767
9,0.607368,0.594485,0.589737,0.808743,0.609093,0.323267,0.579570,0.658510,0.708817,1.000000,0.853772,0.634683,0.435493,0.507633,0.880625,0.852352,0.382598,0.275761,0.363236,0.688985,0.799996,0.627184,0.455011,0.402688,0.785880,0.833709,0.845465,0.788728,0.544060,0.837072,0.817228,0.818263,0.704743,0.483736,0.665361,0.719551,0.682549,0.737911,0.693805,0.679492
10,0.666956,0.596705,0.669436,0.778423,0.666553,0.535626,0.705105,0.690627,0.742057,0.853772,1.000000,0.798254,0.601969,0.621340,0.824886,0.853966,0.580579,0.489088,0.559433,0.746943,0.732340,0.721314,0.635409,0.608283,0.829975,0.765662,0.809938,0.814985,0.550513,0.793956,0.700184,0.782139,0.590825,0.611522,0.770666,0.771220,0.759016,0.755971,0.764176,0.786895
11,0.617064,0.363851,0.736382,0.621647,0.507798,0.700518,0.648376,0.671853,0.800778,0.634683,0.798254,1.000000,0.801633,0.775054,0.731634,0.584581,0.751948,0.709071,0.738824,0.717860,0.606137,0.636240,0.718338,0.732691,0.737027,0.649675,0.701956,0.737032,0.473414,0.586027,0.521585,0.712255,0.309323,0.738482,0.715869,0.732468,0.659203,0.708859,0.724590,0.722065
12,0.475724,0.125215,0.655335,0.427616,0.259572,0.787381,0.538267,0.521866,0.813946,0.435493,0.601969,0.801633,1.000000,0.908836,0.659048,0.286442,0.793591,0.811639,0.856239,0.621553,0.384710,0.482626,0.674656,0.783421,0.679208,0.435212,0.463934,0.501296,0.363837,0.407717,0.246207,0.511294,0.030702,0.832277,0.643172,0.620879,0.591395,0.647852,0.636359,0.607675
13,0.453598,0.116352,0.597506,0.418063,0.229640,0.745708,0.503288,0.518784,0.876353,0.507633,0.621340,0.775054,0.908836,1.000000,0.743662,0.346172,0.743283,0.766609,0.823144,0.643429,0.437693,0.439493,0.610079,0.780186,0.660032,0.478407,0.503246,0.518358,0.333380,0.427248,0.309040,0.575229,0.001837,0.818929,0.614579,0.602036,0.545914,0.603377,0.637204,0.610072
14,0.583544,0.378985,0.639228,0.739402,0.497896,0.559790,0.563170,0.681023,0.845539,0.880625,0.824886,0.731634,0.659048,0.743662,1.000000,0.708847,0.569199,0.495899,0.590935,0.740855,0.777306,0.629078,0.554658,0.608687,0.809951,0.771766,0.808534,0.762204,0.421509,0.731850,0.697194,0.839622,0.452282,0.701437,0.688858,0.730315,0.680810,0.767220,0.760735,0.731868
15,0.640801,0.760581,0.516634,0.786859,0.768244,0.285227,0.682300,0.672261,0.493686,0.852352,0.853966,0.584581,0.286442,0.346172,0.708847,1.000000,0.308561,0.171783,0.247723,0.625254,0.722311,0.704274,0.481129,0.377431,0.689216,0.745333,0.769220,0.764089,0.636372,0.869838,0.825880,0.785786,0.802450,0.319331,0.675672,0.709222,0.709049,0.700320,0.705468,0.752194
16,0.603434,0.251806,0.709767,0.472665,0.428248,0.827591,0.638822,0.576650,0.677320,0.382598,0.580579,0.751948,0.793591,0.743283,0.569199,0.308561,1.000000,0.883051,0.873126,0.697012,0.506368,0.716705,0.811453,0.838042,0.588598,0.464248,0.505422,0.562319,0.365054,0.356805,0.297757,0.514270,0.115773,0.811171,0.670799,0.634729,0.606408,0.596987,0.673049,0.640762
17,0.598143,0.172242,0.634292,0.371154,0.293350,0.861072,0.578009,0.528406,0.657095,0.275761,0.489088,0.709071,0.811639,0.766609,0.495899,0.171783,0.883051,1.000000,0.930020,0.695930,0.399092,0.533174,0.825375,0.892905,0.547148,0.354172,0.420763,0.393098,0.268871,0.262887,0.184360,0.443899,-0.042019,0.816143,0.627299,0.589693,0.501755,0.525328,0.582567,0.564760
