scene,a_s,matched_color_cosine_m,delta,norm_g_s,norm_c_s
0,0.6530006269269603,-0.07731755216736241,0.7303181790943227,0.642889279094584,0.9588799252123613
1,0.5085933464582041,-0.22611046087587397,0.734703807334078,0.7321650340169295,0.9385947598544235
2,0.627432982633913,0.11737729065242601,0.510055691981487,0.6328000294903038,1.0325055496530577
8,0.6236802278661051,0.12695672222969234,0.49672350563641277,0.6934803871242892,0.959544101761316
9,0.6481322958150378,-0.05886224343203113,0.706994539247069,0.6881638114411567,0.8612950423638126
10,0.7060694252275528,-0.15084896464925196,0.8569183898768047,0.6481912088414922,0.8796403249993464
12,0.5621998162109884,0.1676873027136478,0.39451251349734057,0.7553026515046258,0.8723830396542966
13,0.5601229097599921,0.08100651317657369,0.4791163965834184,0.7345748207894125,0.8790765062519876
15,0.6240220055171333,-0.20287204623030086,0.8268940517474341,0.7286216500883476,0.8522613215116986
18,0.5745285458851234,0.4153586738105393,0.15916987207458405,0.8487697456081064,1.1593660847639362
21,0.6744389344927577,-0.11878731445318777,0.7932262489459455,0.6837227085984612,0.9003246422971992
22,0.6545231658386682,0.06251388891543087,0.5920092769232373,0.6058456969204326,0.8407586120576299
23,0.615800119248172,0.24409254324984872,0.37170757599832327,0.7010026364674034,0.9006817438384165
28,0.4788567976902124,0.03752681974766427,0.44132997794254814,0.7315498740341017,0.9740099708783114
29,0.6557088272114621,-0.04140936688692939,0.6971181940983915,0.7793819696463925,0.8482344704882788
33,0.5960224525874953,0.379587010570577,0.21643544201691833,0.8782025426056319,1.1073688868531526
35,0.7081210412054099,-0.10227673374817652,0.8103977749535863,0.689959592037948,0.8888936089045908
36,0.6780246752394423,-0.08241586464167645,0.7604405398811188,0.658106537893966,0.8615267619358834
37,0.6952275660034223,-0.009168642492050556,0.7043962084954728,0.6764131590384855,1.0260675051362487
38,0.7110004941796988,0.025607786493698683,0.6853927076860001,0.6681120638137963,0.8722412712057822
