scene,e0,e1,r,h
0,0.642889279094584,0.37674932544274153,0.5860252110181992,0.8121666465504005
1,0.7321650340169295,0.5718344139473336,0.7810184690329139,0.6368385341747168
4,0.6729146290714657,0.46015717683346835,0.6838269773811058,0.7355537607932534
8,0.6934803871242892,0.42162598230464116,0.6079854457788366,0.7940114131989544
10,0.6481912088414922,0.30239024874357817,0.46651396165035663,0.8848571512758804
22,0.6058456969204326,0.34963041263530786,0.5770948187178853,0.8225146588786111
24,0.6805810861846693,0.3428948047356585,0.5038265266199554,0.8650151935901048
33,0.8782025426056319,0.5848836196867039,0.6660008270430997,0.7556608311770666
37,0.6764131590384855,0.33006738304912014,0.48796712281338167,0.8742912616580285
39,0.7031782838481263,0.3366277988222914,0.47872325774923513,0.8825240180798632
